, , ,Tack,Tack,Vs D,Vs D,Pres,Pres,Pres, , , , 
Squad,# Pl,90s,Tkl,TklW,Tkl,Past,Press,Succ,%,Int,Tkl+Int,Clr,Err
Arminia,26,34.0,630,395,191,396,5767,1653,28.7,305,935,939,9
Augsburg,25,34.0,579,338,192,352,5110,1524,29.8,437,1016,1016,12
Bayern Munich,29,34.0,584,377,189,344,4986,1711,34.3,415,999,549,7
Dortmund,26,34.0,593,411,202,322,4787,1615,33.7,401,994,629,7
Eint Frankfurt,25,34.0,664,408,232,427,5437,1696,31.2,426,1090,699,10
Freiburg,24,34.0,500,298,142,362,5046,1356,26.9,387,887,757,9
Hertha BSC,32,34.0,585,352,180,345,5427,1585,29.2,409,994,869,16
Hoffenheim,30,34.0,590,355,201,357,4769,1573,33.0,346,936,759,10
Köln,28,34.0,647,382,204,364,5101,1553,30.4,427,1074,857,9
Leverkusen,30,34.0,558,342,176,343,4792,1602,33.4,377,935,677,5
M'Gladbach,23,34.0,560,346,213,387,4811,1432,29.8,455,1015,833,6
Mainz 05,31,34.0,688,405,208,384,5385,1686,31.3,454,1142,941,9
RB Leipzig,25,34.0,586,352,157,325,5271,1778,33.7,380,966,676,6
Schalke 04,42,34.0,626,375,196,386,5325,1572,29.5,467,1093,789,10
Stuttgart,29,34.0,570,350,205,350,4667,1442,30.9,382,952,777,6
Union Berlin,27,34.0,585,349,189,313,4970,1580,31.8,428,1013,775,9
Werder Bremen,27,34.0,608,375,197,376,5537,1585,28.6,477,1085,954,6
Wolfsburg,26,34.0,710,430,240,386,5829,1939,33.3,461,1171,891,9
