, , ,Tack,Tack,Vs D,Vs D,Pres,Pres,Pres, , , , 
Squad,# Pl,90s,Tkl,TklW,Tkl,Past,Press,Succ,%,Int,Tkl+Int,Clr,Err
Arsenal,29,38.0,510,315,175,341,4685,1331,28.4,337,847,816,6
Aston Villa,24,38.0,590,358,203,354,5446,1473,27.0,377,967,954,12
Brighton,27,38.0,664,415,218,384,5179,1638,31.6,395,1059,704,5
Burnley,25,38.0,562,320,201,350,4654,1282,27.5,399,961,1035,8
Chelsea,27,38.0,676,413,210,368,5376,1668,31.0,444,1120,830,13
Crystal Palace,24,38.0,694,386,251,394,5700,1502,26.4,460,1154,893,11
Everton,29,38.0,684,426,240,413,5660,1604,28.3,401,1085,927,11
Fulham,28,38.0,671,415,216,345,5145,1537,29.9,499,1170,1063,6
Leeds United,23,38.0,825,493,274,524,6661,1972,29.6,477,1302,791,13
Leicester City,27,38.0,734,445,227,406,5142,1629,31.7,434,1168,844,4
Liverpool,28,38.0,560,358,197,365,5394,1707,31.6,385,945,769,21
Manchester City,24,38.0,554,365,214,396,4560,1462,32.1,339,893,585,6
Manchester Utd,29,38.0,590,371,191,362,5041,1490,29.6,455,1045,806,7
Newcastle Utd,27,38.0,607,363,205,381,5423,1346,24.8,415,1022,1038,13
Sheffield Utd,27,38.0,669,368,248,465,6123,1518,24.8,440,1109,1015,19
Southampton,29,38.0,784,455,296,451,5714,1783,31.2,435,1219,855,10
Tottenham,24,38.0,694,425,257,432,5871,1643,28.0,370,1064,1010,4
West Brom,30,38.0,662,398,227,423,5494,1530,27.8,447,1109,1025,12
West Ham,24,38.0,559,346,190,424,4989,1342,26.9,426,985,988,9
Wolves,27,38.0,618,398,228,393,5195,1558,30.0,388,1006,898,6
