, , ,Tack,Tack,Vs D,Vs D,Pres,Pres,Pres, , , , 
Squad,# Pl,90s,Tkl,TklW,Tkl,Past,Press,Succ,%,Int,Tkl+Int,Clr,Err
Alavés,24,12.0,179,110,55,126,1844,464,25.2,149,328,372,3
Athletic Club,23,12.0,182,119,66,103,1802,499,27.7,142,324,255,1
Atlético Madrid,21,12.0,205,126,77,121,1490,462,31.0,140,345,203,4
Barcelona,27,12.0,193,127,70,100,1569,515,32.8,133,326,191,3
Betis,29,13.0,228,155,89,129,1800,517,28.7,164,392,321,5
Cádiz,26,13.0,276,168,97,152,2217,616,27.8,197,473,376,4
Celta Vigo,22,13.0,267,164,74,142,2031,662,32.6,183,450,246,1
Elche,24,13.0,181,100,64,106,1748,463,26.5,196,377,314,5
Espanyol,27,13.0,183,110,67,120,1537,412,26.8,143,326,337,7
Getafe,26,13.0,250,159,93,138,2283,633,27.7,222,472,224,6
Granada,25,12.0,184,118,68,118,1618,464,28.7,153,337,301,4
Levante,26,13.0,215,131,65,108,1812,470,25.9,188,403,262,3
Mallorca,27,13.0,226,147,63,112,1697,485,28.6,190,416,270,3
Osasuna,26,13.0,209,121,86,120,1840,522,28.4,173,382,304,3
Rayo Vallecano,25,13.0,208,125,76,124,2129,581,27.3,202,410,276,1
Real Madrid,25,12.0,202,129,64,112,1588,456,28.7,186,388,152,6
Real Sociedad,27,13.0,217,136,64,93,1712,537,31.4,143,360,273,3
Sevilla,26,12.0,183,122,50,82,1349,416,30.8,145,328,234,3
Valencia,26,13.0,212,128,68,103,1779,487,27.4,184,396,308,1
Villarreal,26,12.0,178,107,69,93,1380,437,31.7,144,322,215,4
