, , ,Tack,Tack,Vs D,Vs D,Pres,Pres,Pres, , , , 
Squad,# Pl,90s,Tkl,TklW,Tkl,Past,Press,Succ,%,Int,Tkl+Int,Clr,Err
Atalanta,30,38.0,672,425,182,367,5673,1828,32.2,501,1173,758,8
Benevento,29,38.0,595,363,218,395,5031,1446,28.7,414,1009,846,13
Bologna,37,38.0,572,328,171,348,5460,1548,28.4,446,1018,862,16
Cagliari,32,38.0,629,370,201,372,5752,1552,27.0,379,1008,918,9
Crotone,31,38.0,602,373,198,337,5249,1477,28.1,357,959,867,16
Fiorentina,30,38.0,578,362,218,338,5179,1473,28.4,368,946,773,6
Genoa,34,38.0,641,393,214,373,5896,1550,26.3,475,1116,981,12
Hellas Verona,32,38.0,542,338,165,286,4976,1503,30.2,463,1005,1015,16
Inter,25,38.0,541,326,178,314,5079,1434,28.2,365,906,632,8
Juventus,30,38.0,626,395,193,364,5048,1517,30.1,370,996,657,7
Lazio,30,38.0,656,395,231,465,5648,1751,31.0,423,1079,755,7
Milan,29,38.0,679,406,257,357,5848,1718,29.4,383,1062,816,11
Napoli,25,38.0,620,391,218,407,5074,1496,29.5,407,1027,633,9
Parma,42,38.0,636,369,232,416,5566,1486,26.7,430,1066,863,10
Roma,31,38.0,558,390,163,405,5570,1599,28.7,457,1015,647,12
Sampdoria,27,38.0,637,398,186,412,6173,1763,28.6,409,1046,859,10
Sassuolo,28,38.0,594,369,197,318,4943,1515,30.6,372,966,762,8
Spezia,35,38.0,630,386,215,349,5325,1607,30.2,436,1066,744,16
Torino,29,38.0,595,377,215,362,5180,1495,28.9,493,1088,882,11
Udinese,33,38.0,592,383,207,372,5073,1450,28.6,399,991,782,15
