Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Paris S-G,fr FRA,1,14,12,1,1,32,14,+18,37,2.64,24.5,14.2,+10.3,+0.74,W D W W W,47472,Kylian Mbappé - 7,Keylor Navas
2,Napoli,it ITA,1,13,10,2,1,26,7,+19,32,2.46,22.2,9.8,+12.4,+0.95,D W W D L,22216,Victor Osimhen - 5,David Ospina
3,Milan,it ITA,2,13,10,2,1,29,15,+14,32,2.46,22.3,14.9,+7.5,+0.57,W W W D L,34079,Zlatan Ibrahimović - 5,Mike Maignan
4,Chelsea (Euro Champs),eng ENG,1,12,9,2,1,30,4,+26,29,2.42,21.8,11.9,+9.9,+0.83,W W W D W,39832,Reece James - 4,Edouard Mendy
5,Bayern Munich,de GER,1,12,9,1,2,41,13,+28,28,2.33,34.8,10.2,+24.5,+2.04,W W W W L,38333,Robert Lewandowski - 14,Manuel Neuer
6,Real Madrid,es ESP,1,13,9,3,1,32,14,+18,30,2.31,22.7,16.2,+6.5,+0.50,W D W W W,28589,Karim Benzema - 10,Thibaut Courtois
7,Dortmund,de GER,2,12,9,0,3,30,18,+12,27,2.25,23.5,16.9,+6.6,+0.55,W W W L W,43489,Erling Haaland - 9,Gregor Kobel
8,Manchester City,eng ENG,2,12,8,2,2,25,6,+19,26,2.17,26.3,8.3,+17.9,+1.49,W W L W W,52451,Bernardo Silva - 4,Ederson
9,Inter,it ITA,3,13,8,4,1,32,15,+17,28,2.15,26.4,15.9,+10.5,+0.81,D W W D W,40761,Edin Džeko - 7,Samir Handanović
10,Sevilla,es ESP,3,13,8,4,1,23,9,+14,28,2.15,19.3,11.3,+8.0,+0.61,W D W W D,22953,Rafa Mir Érik Lamela - 4,Yassine Bounou
